isoelectric_point,molecular_weight_da,product_conc_mg_ml,ph,kcl_conc,ps50_conc,llysine_conc,ps80_conc,mannitol_conc,citrate_conc,succinate_conc,fructose_conc,tm_c,protein_format_doppelmab,protein_format_igg3,protein_format_igg4,protein_format_knob_hole,protein_format_nano_mb
5.982600000000001,386626.68,172.8,4.5,0.0,0.4,0.0,0.0,270.0,0.0,15.0,0.0,156.05048062536,0.0,1.0,0.0,0.0,0.0
5.9124,272510.88,103.68,5.0,0.0,0.4,0.0,0.0,135.0,0.0,15.0,135.0,152.38019514303198,0.0,0.0,0.0,1.0,0.0
5.7642,241517.52,414.72,4.5,135.0,0.0,0.0,0.4,0.0,0.0,15.0,0.0,151.60888,0.0,0.0,0.0,0.0,1.0
5.9124,272510.88,172.8,4.5,0.0,0.4,0.0,0.0,0.0,0.0,15.0,270.0,151.212871531752,0.0,0.0,0.0,1.0,0.0
5.772,421360.71,172.8,7.0,67.5,0.0,67.5,0.4,0.0,15.0,0.0,0.0,152.255626665848,0.0,0.0,0.0,1.0,0.0
5.7642,241517.52,172.8,5.5,0.0,0.0,67.5,0.4,0.0,0.0,15.0,135.0,160.393173334152,0.0,0.0,0.0,0.0,1.0
5.772,421360.71,34.56,7.0,0.0,0.0,0.0,0.4,135.0,15.0,0.0,135.0,155.947813334152,0.0,0.0,0.0,1.0,0.0
5.545800000000001,524743.11,172.8,5.0,0.0,0.4,135.0,0.0,0.0,15.0,0.0,0.0,144.6584,1.0,0.0,0.0,0.0,0.0
5.499,389595.72,172.8,7.0,0.0,0.4,67.5,0.0,135.0,15.0,0.0,0.0,172.208897194856,0.0,1.0,0.0,0.0,0.0
5.772,421360.71,172.8,5.0,0.0,0.0,0.0,0.4,135.0,15.0,0.0,135.0,151.838106665848,0.0,0.0,0.0,1.0,0.0
6.232200000000001,455066.79,345.6,5.0,0.0,0.4,67.5,0.0,135.0,15.0,0.0,0.0,152.043070696808,0.0,0.0,1.0,0.0,0.0
6.3024,384763.02,518.4,5.5,0.0,0.4,135.0,0.0,0.0,0.0,15.0,0.0,159.433439571496,0.0,1.0,0.0,0.0,0.0
6.3024,384763.02,345.6,5.0,0.0,0.4,135.0,0.0,0.0,15.0,0.0,0.0,153.77693056080798,0.0,1.0,0.0,0.0,0.0
6.162000000000001,391603.56,518.4,4.5,0.0,0.4,0.0,0.0,0.0,0.0,15.0,270.0,151.210064569352,0.0,1.0,0.0,0.0,0.0
6.162000000000001,391603.56,518.4,4.5,0.0,0.4,0.0,0.0,135.0,0.0,15.0,135.0,150.603934084552,0.0,1.0,0.0,0.0,0.0
6.6534,530229.96,172.8,7.0,67.5,0.4,67.5,0.0,0.0,15.0,0.0,0.0,133.6064,1.0,0.0,0.0,0.0,0.0
5.499,389595.72,172.8,5.5,0.0,0.4,0.0,0.0,0.0,0.0,15.0,270.0,172.955655896632,0.0,1.0,0.0,0.0,0.0
6.162000000000001,391603.56,172.8,5.5,67.5,0.4,67.5,0.0,0.0,0.0,15.0,0.0,152.9686997828,0.0,1.0,0.0,0.0,0.0
5.772,421360.71,34.56,5.0,67.5,0.0,67.5,0.4,0.0,0.0,15.0,0.0,149.69320000000002,0.0,0.0,0.0,1.0,0.0
6.3024,384763.02,518.4,5.0,0.0,0.4,135.0,0.0,0.0,15.0,0.0,0.0,153.957194295224,0.0,1.0,0.0,0.0,0.0
6.411600000000001,404683.89,34.56,5.0,0.0,0.4,67.5,0.0,0.0,0.0,15.0,135.0,166.66416,0.0,0.0,1.0,0.0,0.0
5.8422,388669.23,345.6,4.5,135.0,0.4,0.0,0.0,0.0,0.0,15.0,0.0,160.31130666584798,0.0,1.0,0.0,0.0,0.0
5.772,421360.71,34.56,7.0,0.0,0.0,67.5,0.4,0.0,15.0,0.0,135.0,155.16189333415198,0.0,0.0,0.0,1.0,0.0
5.9124,272510.88,172.8,4.5,0.0,0.4,67.5,0.0,0.0,0.0,15.0,135.0,142.472354474552,0.0,0.0,0.0,1.0,0.0
6.232200000000001,455066.79,172.8,7.0,0.0,0.4,67.5,0.0,0.0,15.0,0.0,135.0,168.21085983631198,0.0,0.0,1.0,0.0,0.0
5.772,421360.71,34.56,4.5,0.0,0.0,0.0,0.4,270.0,0.0,15.0,0.0,152.41936,0.0,0.0,0.0,1.0,0.0
